"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.5","6.8","127.6","168","879","0","118"
"2","2.6","11.9","106.9","287","1286","53","119"
"3","4.1","20.4","92.5","442","1821","54","125"
"4","5.1","26.1","90.0","480","1952","53","127"
"5","6.2","31.9","90.0","480","1952","53","131"
"6","7.7","40.6","89.8","483","1963","44","135"
"7","9.3","48.7","89.8","483","1963","44","138"
"8","10.8","56.5","95.3","404","1691","37","142"
"9","12.4","64.2","99.7","353","1515","36","144"
"10","14.4","74.4","102.0","330","1435","36","149"
"11","16.0","82.0","103.0","320","1402","36","153"
"12","17.5","89.3","103.0","320","1402","36","155"
"13","19.1","96.8","104.0","311","1370","35","159"
"14","21.1","106.8","104.4","308","1358","35","161"
"15","22.7","114.1","104.4","308","1358","35","162"
"16","24.2","121.5","104.7","305","1349","35","163"
"17","26.3","131.5","104.8","304","1346","35","164"
"18","27.8","139.0","104.8","304","1346","35","164"
"19","29.4","146.4","104.1","310","1367","36","165"
"20","31.4","156.3","105.0","302","1340","35","165"
"21","33.0","163.6","105.0","302","1340","35","165"
"22","34.5","171.0","105.6","297","1322","34","164"
"23","36.6","180.8","106.0","294","1311","34","165"
"24","38.1","188.0","106.0","294","1311","34","165"
"25","40.2","197.9","106.4","291","1300","34","165"
"26","41.7","205.0","106.4","291","1300","34","165"
"27","43.3","212.3","106.3","291","1302","34","165"
"28","45.4","222.1","106.8","287","1288","34","165"
"29","46.9","229.4","106.6","289","1294","35","166"
"30","49.0","239.3","105.8","296","1317","35","167"
"31","50.5","246.5","105.8","296","1317","35","167"
"32","52.6","256.4","106.2","292","1305","33","167"
"33","54.1","263.6","106.2","292","1305","33","168"
"34","55.7","270.9","106.2","292","1305","34","168"
"35","57.7","280.7","106.0","294","1311","33","168"
"36","59.3","287.9","106.2","292","1305","34","168"
"37","61.3","297.8","105.9","295","1314","34","169"
"38","62.9","305.0","105.9","295","1314","34","169"
"39","64.9","314.9","105.6","297","1322","34","170"
"40","66.5","322.2","105.6","297","1322","34","170"
"41","68.6","332.0","106.9","287","1286","33","170"
"42","70.1","339.2","106.9","287","1286","33","170"
"43","72.1","348.9","106.9","287","1286","33","169"
"44","73.7","356.2","106.9","287","1286","33","170"
"45","75.8","365.9","107.2","284","1277","34","170"
"46","77.3","373.1","107.2","284","1277","34","170"
"47","79.4","383.0","106.0","294","1311","34","170"
"48","80.9","390.1","106.0","294","1311","34","170"
"49","82.5","397.3","106.9","287","1286","34","170"
