Number,Time (seconds),Distance (meters),Pace (seconds),Watts,Cal/Hr,Stroke Rate,Heart Rate
1,0.7,3.1,123.6,185,937,0,122
2,1.8,8.1,123.6,185,937,0,122
3,3.3,16.1,102.5,325,1418,43,123
4,4.9,24.6,91.4,458,1877,44,127
5,5.9,30.3,91.4,458,1877,44,129
6,7.4,38.8,90.3,475,1935,42,132
7,9.5,50,93.9,423,1754,36,139
8,11,57.9,93.9,423,1754,36,142
9,12.6,65.9,96.6,388,1636,35,146
10,14.7,76.5,97.8,374,1587,35,151
11,16.2,84.2,98.7,364,1552,34,154
12,17.7,92.1,98.9,362,1545,35,157
13,19.8,102.7,98.4,367,1564,35,161
14,21.4,110.3,99.4,356,1526,34,162
15,23.4,120.7,100.5,345,1486,35,165
16,25,128.4,100.5,345,1486,35,165
17,26.5,136.1,100.4,346,1490,34,166
18,28.6,146.5,100.5,345,1486,34,167
19,30.1,154,100.3,347,1493,34,167
20,32.2,164.3,101.4,336,1455,34,168
21,33.7,171.9,101.7,333,1445,33,169
22,35.8,182.2,101.9,331,1438,33,169
23,37.3,189.7,101.9,331,1438,33,169
24,39.4,200,101.6,334,1448,34,169
25,40.9,207.5,101.6,334,1448,34,169
26,43,217.8,101.8,332,1441,33,169
27,44.6,225.4,101.8,332,1441,33,170
28,46.1,233,101.4,336,1455,34,170
29,48.2,243.4,101.1,339,1465,34,170
30,49.7,250.9,100.9,341,1472,34,170
31,51.8,261.1,101.8,332,1441,33,171
32,53.3,268.6,102.6,324,1415,33,171
33,55.4,278.8,102.5,325,1418,33,171
34,56.9,286.3,102.2,328,1428,34,172
35,59,296.6,101.8,332,1441,34,172
36,60.5,304.1,101.9,331,1438,33,173
37,62.6,314.4,101.9,331,1438,34,173
38,64.1,321.9,101.9,331,1438,34,174
39,66.2,332.3,101.6,334,1448,33,174
40,67.7,339.8,101.6,334,1448,33,175
41,69.8,350.1,101.5,335,1451,34,175
42,71.4,357.7,101.5,335,1451,34,175
43,72.9,365.2,101.4,336,1455,34,176
44,75,375.4,102.3,327,1425,33,176
45,76.5,383,102.3,327,1425,34,175
46,78.6,393.2,102,330,1435,34,176
47,80.1,400.6,102.6,324,1415,34,175
48,82.2,410.9,102.3,327,1425,34,176
49,83.7,418.4,102.3,327,1425,34,176
50,85.8,428.7,102.1,329,1431,34,176
51,87.3,436.2,102.1,329,1431,34,176
52,88.9,443.7,102.1,329,1431,34,177
53,90.9,453.9,102.7,323,1412,34,177
54,92.5,461.5,102,330,1435,34,177
55,94.6,471.8,101.5,335,1451,34,177
56,96.1,479.3,101.9,331,1438,33,177
57,98.2,489.5,102.2,328,1428,34,178
