"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.5","14.6","119.0","208","1014","23","95"
"2","6.1","24.7","119.0","208","1014","23","99"
"3","9.1","37.1","125.0","179","916","20","102"
"4","12.2","49.6","124.7","180","921","20","107"
"5","15.3","61.8","125.1","179","915","20","111"
"6","18.4","74.1","126.0","175","902","20","115"
"7","21.5","86.5","126.4","173","896","20","114"
"8","24.6","98.7","127.4","169","882","20","113"
"9","27.7","110.8","128.6","165","866","20","113"
"10","30.8","122.7","129.3","162","857","19","114"
"11","33.8","134.6","129.6","161","853","19","115"
"12","36.9","146.7","128.3","166","870","20","116"
"13","40.0","159.1","125.1","179","915","19","120"
"14","43.1","171.5","126.2","174","899","19","122"
"15","46.2","183.5","127.6","168","879","19","124"
"16","49.3","195.8","125.6","177","907","20","125"
"17","52.3","208.0","125.6","177","907","20","127"
"18","55.4","220.3","126.0","175","902","19","130"
"19","58.5","232.6","126.6","172","893","19","130"
"20","61.6","244.9","125.9","175","903","20","130"
"21","64.7","257.1","126.8","172","890","19","130"
"22","67.8","269.4","126.2","174","899","20","131"
"23","70.9","281.7","125.8","176","905","19","131"
"24","74.0","294.1","126.0","175","902","20","134"
"25","77.1","306.3","127.1","170","886","19","136"
"26","80.2","318.5","127.0","171","888","19","136"
"27","83.3","330.7","126.6","172","893","19","136"
"28","86.4","343.0","126.7","172","892","20","136"
"29","89.4","355.2","126.4","173","896","19","136"
"30","92.5","367.3","127.5","169","881","19","137"
"31","95.6","379.5","127.2","170","885","20","138"
"32","98.2","389.4","127.2","170","885","20","137"
"33","101.3","401.6","126.8","172","890","20","137"
"34","104.4","413.9","126.6","172","893","20","136"
"35","107.5","426.1","127.0","171","888","19","136"
"36","110.5","438.3","127.1","170","886","19","137"
"37","113.6","450.6","126.3","174","897","20","138"
"38","116.7","462.8","126.5","173","895","20","137"
"39","119.8","474.9","126.9","171","889","20","136"
"40","122.9","486.9","128.1","167","873","20","137"
"41","126.0","499.3","128.4","165","869","20","138"
"42","129.0","511.5","126.9","171","889","20","139"
"43","132.1","523.9","126.1","175","900","20","140"
"44","134.7","533.9","126.1","175","900","20","141"
"45","137.8","546.2","125.7","176","906","20","141"
"46","140.9","558.3","126.6","172","893","20","141"
"47","144.0","570.5","127.3","170","883","20","139"
"48","147.1","582.6","127.8","168","877","20","137"
"49","150.2","594.7","127.9","167","875","19","137"
"50","153.2","606.9","127.7","168","878","20","138"
"51","156.3","619.1","127.4","169","882","20","138"
"52","159.4","631.3","127.5","169","881","20","138"
"53","162.5","643.5","127.5","169","881","20","138"
"54","165.6","655.6","127.9","167","875","19","137"
"55","168.7","667.8","127.3","170","883","20","138"
"56","171.2","677.6","127.3","170","883","20","138"
"57","174.3","689.8","127.6","168","879","20","139"
"58","177.4","701.9","127.8","168","877","20","140"
"59","180.5","714.1","127.7","168","878","20","140"
"60","183.6","726.2","127.9","167","875","20","139"
"61","186.7","738.4","128.5","165","867","20","138"
"62","189.8","750.7","127.7","168","878","20","138"
"63","192.8","762.9","126.9","171","889","20","139"
"64","195.9","775.1","127.1","170","886","20","140"
"65","199.0","787.2","127.5","169","881","20","140"
"66","202.1","799.4","126.9","171","889","20","139"
"67","204.6","809.3","126.9","171","889","20","139"
"68","207.7","821.5","127.1","170","886","20","138"
"69","210.8","833.6","126.9","171","889","20","139"
"70","213.9","845.7","127.9","167","875","20","140"
"71","217.0","857.9","127.4","169","882","20","142"
"72","220.0","870.0","127.4","169","882","19","141"
"73","223.1","882.1","127.5","169","881","20","140"
"74","226.2","894.4","126.8","172","890","19","140"
"75","229.3","906.5","127.0","171","888","20","140"
"76","232.4","918.8","127.3","170","883","20","141"
"77","235.5","931.1","126.7","172","892","20","141"
